"soil";"prof_super";"prof_infer";"bd";"oc";"ph";"clay";"silt";"sand";"crs_name";"crs_code";"X";"Y"
"HarmonyPoint2L2P2";0;10;NA;2,78;6,2;16,2;27;56,8;"south pole stereographic";"ESRI:102021";-2708327,04;1613914,878
"HarmonyPoint2L2P3";0;10;NA;4,45;5,53;17;27,9;55,1;"south pole stereographic";"ESRI:102021";-2708328,567;1613921,553
"HarmonyPoint2L2P4";0;10;NA;7,42;5,1;26;14,2;59,8;"south pole stereographic";"ESRI:102021";-2708333,704;1613929,098
"HarmonyPoint2L2P5";0;10;NA;7,05;4,42;23,8;17,9;58,3;"south pole stereographic";"ESRI:102021";-2708338,389;1613935,093
"HarmonyPoint2L2P7";0;10;NA;12,13;4,39;26,8;20,2;52,9;"south pole stereographic";"ESRI:102021";-2708341,161;1613948,915
"HarmonyPoint2L3P2";0;10;NA;15,44;4,8;25,7;14,8;59,5;"south pole stereographic";"ESRI:102021";-2708321,873;1613948,951
"HarmonyPoint2L3P4";0;10;NA;18,75;4,02;27,6;17,3;55,2;"south pole stereographic";"ESRI:102021";-2708301,066;1613953,846
"HarmonyPoint2L3P7";0;10;NA;34,55;4,6;27;26,1;46,9;"south pole stereographic";"ESRI:102021";-2708277,486;1613944,919
"HarmonyPoint2L4P2";0;10;NA;5,7;5,02;22,8;15,3;61,9;"south pole stereographic";"ESRI:102021";-2708281,718;1613949,363
"HarmonyPoint2L4P3";0;10;NA;9,56;4,69;22,2;17;60,7;"south pole stereographic";"ESRI:102021";-2708283,401;1613934,993
"HarmonyPoint2L4P4";0;10;NA;9,56;4,44;20;33,4;46,5;"south pole stereographic";"ESRI:102021";-2708289,665;1613940,647
"HarmonyPoint2L4P5";0;10;NA;9,92;4,79;21,5;17,2;61,3;"south pole stereographic";"ESRI:102021";-2708294,238;1613949,137
"HarmonyPoint2L4P6";0;10;NA;8,45;4,8;21,6;19,3;59,1;"south pole stereographic";"ESRI:102021";-2708307,722;1613956,532
"HarmonyPoint2L4P7";0;10;NA;3,49;5,02;20,6;13,1;66,3;"south pole stereographic";"ESRI:102021";-2708307,952;1613963,075
"HarmonyPoint3L1P1";0;10;NA;2,76;5,25;15,8;10,1;74,2;"south pole stereographic";"ESRI:102021";-2708387,007;1614031,358
"HarmonyPoint3L1P3";0;10;NA;5,52;4,96;20;23,5;56,5;"south pole stereographic";"ESRI:102021";-2708367,625;1614031,507
"HarmonyPoint3L1P4";0;10;NA;4,41;5,19;20;18,4;61,7;"south pole stereographic";"ESRI:102021";-2708081,186;1614512,071
"HarmonyPoint3L1P5";0;10;NA;7,35;5,1;20;19;61;"south pole stereographic";"ESRI:102021";-2708074,641;1614506,888
"HarmonyPoint3L2P1";0;10;NA;11,03;4,81;19;14;66,9;"south pole stereographic";"ESRI:102021";-2708058,118;1614509,209
"HarmonyPoint3L2P2";0;10;NA;7,72;4,82;21,1;15,6;63,3;"south pole stereographic";"ESRI:102021";-2708064,886;1614509,4
"HarmonyPoint3L2P6";0;10;NA;16,91;4,75;20,6;18,1;61,3;"south pole stereographic";"ESRI:102021";-2708085,874;1614529,601
"HarmonyPoint3L2P7";0;10;NA;26,46;4,27;28,9;33,2;37,9;"south pole stereographic";"ESRI:102021";-2708091,908;1614528,714
"HarmonyPoint3L3P2";0;10;0,7238;13,97;4,67;28,2;20,9;50,9;"south pole stereographic";"ESRI:102021";-2708093,823;1614520,886
